id;family_tree_type_id;name_ar;name_en;description_ar;description_en;range_start;range_end;cost;duration;created_by;created_date;can_renew
1;1;مجانية;Free; مجانية;Free;0;99;0;30;0;2020-01-01;0
2;1;مبتدئة;Beginner;للمزارع المبتدئة;For Beginners;0;99;99;365;0;2020-01-01;1
3;1;صغيرة;Small;للمزارع الصغيرة;For Small Farms;100;499;299;365;0;2020-01-01;1
4;1;متوسطة;Medium;للمزارع المتوسطة;For Medium Farms;500;999;899;365;0;2020-01-01;1
5;1;كبيرة;Large;للمزارع الكبيرة;For Large Farms;1000;9999;1999;365;0;2020-01-01;1
6;1;كبيرة جداً;Very Large;للمزارع الكبيرة جداً;For Very Large Farms;10000;99999;4999;365;0;2020-01-01;1
